2025-12-02 17:06:27 - pixiv_crawler - INFO - Fetching monthly ranking with date 20251128...
2025-12-02 17:06:27 - pixiv_crawler - INFO - Fetching ranking page - mode: monthly, date: 20251128
2025-12-02 17:06:29 - pixiv_crawler - INFO - Found 50 contents in ranking JSON data
2025-12-02 17:06:29 - pixiv_crawler - INFO - Extracted 50 unique image URLs from ranking page
2025-12-02 17:06:29 - pixiv_crawler - INFO - Found 50 illustration URLs in ranking
2025-12-02 17:06:29 - pixiv_crawler - INFO - Found 50 illustrations in ranking
2025-12-02 17:06:29 - pixiv_crawler - INFO - Starting download...
2025-12-02 17:06:34 - pixiv_crawler - INFO - Successfully downloaded illustration 136937610: ranking_image_136937610
2025-12-02 17:06:37 - pixiv_crawler - INFO - Successfully downloaded illustration 136971676: ranking_image_136971676
2025-12-02 17:06:40 - pixiv_crawler - INFO - Successfully downloaded illustration 136937604: ranking_image_136937604
2025-12-02 17:06:43 - pixiv_crawler - INFO - Successfully downloaded illustration 136967150: ranking_image_136967150
2025-12-02 17:06:47 - pixiv_crawler - INFO - Successfully downloaded illustration 136937551: ranking_image_136937551
2025-12-02 17:06:49 - pixiv_crawler - INFO - Successfully downloaded illustration 136958758: ranking_image_136958758
2025-12-02 17:06:52 - pixiv_crawler - INFO - Successfully downloaded illustration 136937664: ranking_image_136937664
2025-12-02 17:06:56 - pixiv_crawler - INFO - Successfully downloaded illustration 136937699: ranking_image_136937699
2025-12-02 17:06:59 - pixiv_crawler - INFO - Successfully downloaded illustration 136926539: ranking_image_136926539
2025-12-02 17:07:02 - pixiv_crawler - INFO - Successfully downloaded illustration 136931717: ranking_image_136931717
2025-12-02 17:07:04 - pixiv_crawler - INFO - Successfully downloaded illustration 136937645: ranking_image_136937645
2025-12-02 17:07:07 - pixiv_crawler - INFO - Successfully downloaded illustration 136976509: ranking_image_136976509
2025-12-02 17:07:10 - pixiv_crawler - INFO - Successfully downloaded illustration 136937800: ranking_image_136937800
2025-12-02 17:07:13 - pixiv_crawler - INFO - Successfully downloaded illustration 136938559: ranking_image_136938559
2025-12-02 17:07:15 - pixiv_crawler - INFO - Successfully downloaded illustration 136900559: ranking_image_136900559
2025-12-02 17:07:18 - pixiv_crawler - INFO - Successfully downloaded illustration 136957993: ranking_image_136957993
2025-12-02 17:07:20 - pixiv_crawler - INFO - Successfully downloaded illustration 136982943: ranking_image_136982943
2025-12-02 17:07:23 - pixiv_crawler - INFO - Successfully downloaded illustration 136892611: ranking_image_136892611
2025-12-02 17:07:26 - pixiv_crawler - INFO - Successfully downloaded illustration 136956581: ranking_image_136956581
2025-12-02 17:07:28 - pixiv_crawler - INFO - Successfully downloaded illustration 137000080: ranking_image_137000080
