2025-12-02 17:17:10 - pixiv_crawler - INFO - Fetching monthly ranking with date 20251128...
2025-12-02 17:17:10 - pixiv_crawler - INFO - Fetching ranking page - mode: monthly, date: 20251128
2025-12-02 17:17:11 - pixiv_crawler - INFO - Found 50 contents in ranking JSON data
2025-12-02 17:17:11 - pixiv_crawler - INFO - Extracted 50 unique image URLs from ranking page
2025-12-02 17:17:11 - pixiv_crawler - INFO - Found 50 illustration URLs in ranking
2025-12-02 17:17:11 - pixiv_crawler - INFO - Found 50 illustrations in ranking
2025-12-02 17:17:11 - pixiv_crawler - INFO - Starting download...
2025-12-02 17:17:13 - pixiv_crawler - INFO - Successfully downloaded illustration 136937610: ranking_image_136937610
2025-12-02 17:17:15 - pixiv_crawler - INFO - Successfully downloaded illustration 136971676: ranking_image_136971676
2025-12-02 17:17:17 - pixiv_crawler - INFO - Successfully downloaded illustration 136937604: ranking_image_136937604
2025-12-02 17:17:19 - pixiv_crawler - INFO - Successfully downloaded illustration 136967150: ranking_image_136967150
2025-12-02 17:17:21 - pixiv_crawler - INFO - Successfully downloaded illustration 136937551: ranking_image_136937551
2025-12-02 17:17:23 - pixiv_crawler - INFO - Successfully downloaded illustration 136958758: ranking_image_136958758
2025-12-02 17:17:24 - pixiv_crawler - INFO - Successfully downloaded illustration 136937664: ranking_image_136937664
2025-12-02 17:17:27 - pixiv_crawler - INFO - Successfully downloaded illustration 136937699: ranking_image_136937699
2025-12-02 17:17:29 - pixiv_crawler - INFO - Successfully downloaded illustration 136926539: ranking_image_136926539
2025-12-02 17:17:31 - pixiv_crawler - INFO - Successfully downloaded illustration 136931717: ranking_image_136931717
2025-12-02 17:17:33 - pixiv_crawler - INFO - Successfully downloaded illustration 136937645: ranking_image_136937645
2025-12-02 17:17:35 - pixiv_crawler - INFO - Successfully downloaded illustration 136976509: ranking_image_136976509
2025-12-02 17:17:37 - pixiv_crawler - INFO - Successfully downloaded illustration 136937800: ranking_image_136937800
2025-12-02 17:17:39 - pixiv_crawler - INFO - Successfully downloaded illustration 136938559: ranking_image_136938559
2025-12-02 17:17:41 - pixiv_crawler - INFO - Successfully downloaded illustration 136900559: ranking_image_136900559
2025-12-02 17:17:43 - pixiv_crawler - INFO - Successfully downloaded illustration 136957993: ranking_image_136957993
2025-12-02 17:17:45 - pixiv_crawler - INFO - Successfully downloaded illustration 136982943: ranking_image_136982943
2025-12-02 17:17:47 - pixiv_crawler - INFO - Successfully downloaded illustration 136892611: ranking_image_136892611
2025-12-02 17:17:50 - pixiv_crawler - INFO - Successfully downloaded illustration 136956581: ranking_image_136956581
2025-12-02 17:17:51 - pixiv_crawler - INFO - Successfully downloaded illustration 137000080: ranking_image_137000080
2025-12-02 17:17:53 - pixiv_crawler - INFO - Successfully downloaded illustration 136939575: ranking_image_136939575
2025-12-02 17:17:55 - pixiv_crawler - INFO - Successfully downloaded illustration 136901065: ranking_image_136901065
2025-12-02 17:17:57 - pixiv_crawler - INFO - Successfully downloaded illustration 136902807: ranking_image_136902807
2025-12-02 17:17:59 - pixiv_crawler - INFO - Successfully downloaded illustration 136923693: ranking_image_136923693
2025-12-02 17:18:00 - pixiv_crawler - INFO - Successfully downloaded illustration 136924873: ranking_image_136924873
2025-12-02 17:18:02 - pixiv_crawler - INFO - Successfully downloaded illustration 136965925: ranking_image_136965925
2025-12-02 17:18:04 - pixiv_crawler - INFO - Successfully downloaded illustration 136937607: ranking_image_136937607
2025-12-02 17:18:06 - pixiv_crawler - INFO - Successfully downloaded illustration 136969922: ranking_image_136969922
2025-12-02 17:18:08 - pixiv_crawler - INFO - Successfully downloaded illustration 136849830: ranking_image_136849830
2025-12-02 17:18:10 - pixiv_crawler - INFO - Successfully downloaded illustration 136962534: ranking_image_136962534
2025-12-02 17:18:12 - pixiv_crawler - INFO - Successfully downloaded illustration 136937681: ranking_image_136937681
2025-12-02 17:18:14 - pixiv_crawler - INFO - Successfully downloaded illustration 136937459: ranking_image_136937459
